body,title,url
Uno de los mejores juegos que se vivió en la tercera jornada de los cuadrangulares de la Liga Águila lo protagonizaron Atlético Nacional y Atlético Junior que empataron por 2 a 2 en partido correspondiente al grupo A disputado en el estadio Atanasio Girardot.,Santa Fe sigue soñando con la estrella de navidad luego de ganarle a Alianza Petrolera,https://www.semana.com//deportes/articulo/te-cagas-siempre-la-acalorada-discusion-entre-teofilo-gutierrez-y-alexis-henriquez/640838
"El entrenador del Tottenham inglés, el argentino Mauricio Pochettino, fue retirado de su cargo apenas cinco meses después de jugar la final de la Champions por primera vez en la historia del club, que anunció la decisión este martes en un comunicado.",Se dijeron de todo: la acalorada discusión entre Teófilo Gutiérrez y Alexis Henríquez,https://www.semana.com//deportes/articulo/davinson-se-quedo-sin-tecnico-mauricio-pochettino-fue-echado-del-tottenham/640875
"Este jueves, gran parte del país tiene los ojos puestos en un solo tema: el paro. La jornada de manifestaciones, a la que se han unido numerosos grupos, ha captado la atención del país y hay gran expectativa de lo que pueda ocurrir. Curiosamente, justo a las mismas horas del paro, todas las autoridades del país estarán reunidas en un lugar: la Cámara de Comercio de Bogotá. El lugar es la sede de la Cumbre de la Justicia que organiza la Corporación Excelencia de la Justicia y que suele reunir a la cupula del poder. Estará el presidente Duque, la ministra de Justicia, los presidentes de las altas cortes, la presidenta de la JEP, el contralor y el procurador. La idea era reflexionar sobre ese sector, pero es muy probable que termine siendo el escenario para reflexionar sobre lo que suceda. ",En video: Estudiantes de la U. de Antioquia se enfrentan a encapuchados un día antes del paro,https://www.semana.com//nacion/articulo/la-cumbre-de-la-justicia-que-se-desarrolla-durante-el-paro/641115
"A paso lento pero seguro continúa el trámite de la reforma tributaria en el Congreso de la República, que tiene plazo hasta el próximo 16 de diciembre para darle su aprobación final.",Carrasquilla insiste en necesidad de acabar régimen de prima media,https://www.dinero.com/economia/articulo/como-va-la-reforma-tributaria/279301
"Dos de los miembros de la ""La Manada"", un grupo de cinco hombres que cumplen quince años de cárcel por la violación de una joven en los Sanfermines de 2016, fueron condenados a tres años y tres meses adicionales por grabar la agresión y atentar de ese modo contra la intimidad de la víctima.","Una francesa acusa a Roman Polanski de haberla violado, él responde",https://www.semana.com//mundo/articulo/miembros-de-la-manada-pagaran-tres-anos-mas-de-carcel-por-grabar-la-violacion-de-una-mujer/641062
La  noticia del fin de semana en el fútbol colombiano fue el ascenso del Deportivo Pereira. El equipo matecaña regresó a la primera división después de 8 años en la B después de vencer a Tigres por 5 a 0.,"""Jamás entrenaría al Tottenham"": la frase que le recriminan a Mourinho",https://www.semana.com//deportes/articulo/trino-denunciando-falta-de-juego-limpio-en-el-ascenso-del-pereira-y-la-dimayor-lo-multo-con-mas-de-6-millones/641137
"""Llegamos a los 1.225 kilos, con una clara ralentización desde hace dos días"", indicó a la AFP el fiscal de Rennes, Francia, Philippe Astruc, sin dar más información sobre la investigación.",En video: Estudiantes de la U. de Antioquia se enfrentan a encapuchados un día antes del paro,https://www.semana.com//mundo/articulo/cargamento-de-cocaina-en-la-costa-francesa/640858
"Las protestas son justas y necesarias en una democracia si son masivas, argumentadas y pacíficas. En este sentido, hay que reconocer que los estudiantes nos dieron, entre octubre y diciembre del año anterior, una gran lección al garantizar que se cumpliera a cabalidad con esas condiciones en las gigantescas manifestaciones que convocaron en defensa de la educación oficial.",¿Qué hay detrás del paro nacional del 21 de noviembre?,https://www.semana.com//educacion/articulo/marcha-21-de-noviembre-a-quien-benefician-los-encapuchados-en-las-protestas/641054
"En Boyacá este 21 de noviembre podría suceder una situación que sería ejemplo para el agitado ambiente que se vive en América Latina. Ese día, cuando el país realizará una gran movilización nacional, el departamento le apostará a una manifestación diferente. ""Es una arriesgada, muy importante"", dice el gobernador Carlos Amaya. ""Sin Esmad, sin capuchas:Sin miedo, sin violencia"", es el lema al que decidió apostarle Amaya.  El gobernador habló con SEMANA.","Fronteras cerradas, militares acuartelados: ¿son excesivas las medidas frente al paro?",https://www.semana.com//nacion/articulo/sin-esmad-sin-capuchas-boyaca-le-apuesta-a-una-marcha-diferente/640905
"No solo ganó el León de Oro a la mejor película en la edición 76 del Festival de Cine de Venecia y el premio a Mejor actor en Cannes, Joker también hizo una verdadera fortuna. Dirigida por Todd Phillips y protagonizada por una arrollador Joaquin Phoenix, la cinta costó casi 63 millones de dólares y ya ha recaudado más de 1.000 millones alrededor del mundo... sin estrenarse aún en China. Por eso, la idea de una segunda parte no ha hecho más que tomar fuerza. Hoy, al fin, se confirmó.",Una no fue suficiente: Warner Bros. confirma secuela de 'Guasón',https://www.revistaarcadia.com/cine/articulo/guason-warner-bros-confirma-secuela-de-joker-dirigida-por-todd-phillips-con-joaquin-phoenix/79136
El sueño de muchos es saltar a la fama mediante YouTube y convertirse en una celebridad. David Dobrik pasó del sueño a la frustración. Antes ganaba USD 275.000 y ahora solo 2.000 al mes con su canal en la plataforma de video.,Youtuber indemnizó a la familia de seguidora que murió por replicar experimento,https://www.semana.com//tecnologia/articulo/el-declive-del-youtuber-que-paso-de-ganar-usd-275000-a-2000-al-mes/641113
